x,y,z
0.785453,-0.219290,-0.025752
0.723823,-0.277968,0.285657
-0.347054,-1.397939,0.316746
0.501893,-2.445126,0.022262
-0.036043,-0.561174,0.142545
0.178780,-1.151004,0.056533
0.623750,-1.277293,-0.416855
0.194034,-1.934229,0.002906
0.209250,-0.493123,-0.256275
-0.063019,-2.237632,0.467953
0.176098,-1.779282,0.288096
-0.319024,-2.058491,-0.083071
-0.033748,-0.795440,-0.661415
-0.669894,-1.106471,-0.398375
0.976598,-1.588479,0.269167
0.544991,-1.811176,-0.540978
-0.742111,-0.972050,0.146484
0.180564,-0.872185,-0.886527
0.269452,-0.908151,1.200428
-0.150910,0.389886,-0.524942
-0.139594,-0.733611,0.432446
0.020706,-1.784231,-0.697694
0.821186,-0.894441,0.000526
0.049881,-1.051161,1.133227
0.639444,-0.746281,0.123324
0.508352,-1.391429,1.063952
-0.102039,-0.638504,0.091178
0.560128,-1.252467,-0.164999
0.194618,-0.590432,0.333446
0.775359,-1.465815,-0.298309
-0.344853,-1.065355,-0.610070
0.788705,-1.174795,-0.121856
0.305484,-0.859823,0.598130
1.202294,-2.187163,1.025687
0.382567,-1.079961,0.006519
0.382168,-0.766859,0.345337
0.991857,-1.723894,-0.267439
0.372889,-1.567113,0.914562
0.040498,-1.735948,-0.530841
-0.022186,-0.773224,-0.285937
0.483819,-0.396349,-0.558355
0.005712,-0.939488,0.420130
0.157992,-1.012911,0.148041
0.054374,-0.978358,0.453146
0.280367,-0.698450,0.080272
0.300249,-1.743626,0.574354
0.108028,-1.267928,-0.086420
0.257142,-1.174767,-0.688685
